"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"81-2096324","Inter Community Celebration Association Inc","PO Box 488","BERLIN","NJ","8009","","","","","","","Arts, Culture, and Humanities","f990n","2021","Commemorative Events","Candid","Camden (County, 2022)"
"81-2198984","Esce Organization","3001 E Evesham Rd","VOORHEES","NJ","8043","","","","","","","Environmental Quality, Protection, and Beautification","f990n","2023","Nonmonetary Support N.E.C.","Candid","Camden (County, 2022)"
"81-2317791","Smiles From Kara Inc","105 Robin Ln","VOORHEES","NJ","8043","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2020","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"81-2324376","Hamilton Charter Christian Academy","56 Jonquil Way","SICKLERVILLE","NJ","8081","","","","","","","Education","f990n","2020","Single Organization Support","Candid","Camden (County, 2022)"
"81-2383269","Haddonfield Japan Exchange A NJ Nonprofit Corporation","114 CENTRE ST","HADDONFIELD","NJ","8033","","","","","","","International, Foreign Affairs, and National Security","f990n","2022","International Student Exchange and Aid","Candid","Camden (County, 2022)"
"81-2438406","Bilingual Families of Sj","157 Hopkins Ave","HADDONFIELD","NJ","8033","","","","","","","Arts, Culture, and Humanities","f990n","2019","Cultural, Ethnic Awareness","Candid","Camden (County, 2022)"
"81-2610640","Voyage Together","710 Station Ave","GLENDORA","NJ","8029","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Developmentally Disabled Services/Centers","Candid","Camden (County, 2022)"
"81-2661483","Turn-Key Communities Inc","153 Cuthbert Blvd","HADDON TOWNSHIP","NJ","8107","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Services to Promote the Independence of Specific Populations","Candid","Camden (County, 2022)"
"81-2705716","Parent Booster USA Inc","1300 Market St","GLOUCESTER CITY","NJ","8030","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"81-3169569","Zacchaeus House for Tax Assistance Inc","PO Box 1953","CAMDEN","NJ","8101","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"81-3189527","New Soles Inc","3467 Palace Ct","MERCHANTVILLE","NJ","8109","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"81-3238339","Family Matters Community Development Corporation Inc","18 Elsworth Dr","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"81-3297371","Mary Anton Memorial Scholarship Fund","129 Windsor Ave","HADDONFIELD","NJ","8033","","","","","","","Youth Development","f990n","2022","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"81-3312159","Kizzys Place Inc","62 Berkshire Rd","SICKLERVILLE","NJ","8081","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"81-3520608","Highway of Holiness Church of the Apostles Doctrine","PO Box 188","MAGNOLIA","NJ","8049","","","","","","","Religion Related, Spiritual Development","f990n","2019","Christian","Candid","Camden (County, 2022)"
"81-3538400","Come Back Strong Inc","30 Cedar Hill Dr","SICKLERVILLE","NJ","8081","","","","","","","Health","f990n","2020","Rehabilitative Medical Services","Candid","Camden (County, 2022)"
"81-3617810","Adolescent Achievers A New Jersey Non-Profit Corporation","126 Abblett Vlg","CAMDEN","NJ","8105","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"81-3650092","Angeling for God","217 Hayes Mill Rd","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","f990n","2020","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"81-3695648","New Jersey Writing Alliance Inc","104 SE Gate Dr","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2021","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"81-3809480","Meriden Better Tomorrows LLC","PO Box 90708","CAMDEN","NJ","8101","","","","","","","","f990n","2022","","Candid","Camden (County, 2022)"
"81-3882182","Little League Baseball Inc","PO Box 3","OAKLYN","NJ","8107","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"81-3946883","Golf for Rob","9 Mercer Dr","HADDONFIELD","NJ","8033","","","","","","","Medical Research","f990n","2022","Cancer Research","Candid","Camden (County, 2022)"
"81-4281947","Malamut Family Great Day Foundation Inc","457 Haddonfield Rd Ste 500","CHERRY HILL","NJ","8002","","","","","","","Arts, Culture, and Humanities","f990n","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"81-4422419","Institute for Chinas Democratic Transition","115 Atlantic Ave","VOORHEES","NJ","8043","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"81-4456857","Dogs of Our Lives Shelter Rescue Inc","PO Box 1322","MERCHANTVILLE","NJ","8109","","","","","","","Animal-Related","f990n","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"81-4648036","Teams Work for Good Inc","215 W Mount Vernon Ave","HADDONFIELD","NJ","8033","","","","","","","Youth Development","f990n","2022","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"81-4804306","Green and Healthy America Organization Inc","146 Quiet Cres","SICKLERVILLE","NJ","8081","","","","","","","Environmental Quality, Protection, and Beautification","f990n","2020","Environmental Education and Outdoor Survival Programs","Candid","Camden (County, 2022)"
"81-4954227","Phi Mu Delta Educational Foundation Inc","926 HADDONFIELD RD STE E # 154","CHERRY HILL","NJ","8002","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"81-5042564","Highland Home and School Council","450 Erial Rd","BLACKWOOD","NJ","8012","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"81-5062306","Seeing Ourselves As Royalty","1 High Pointe Rdg","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Family Services","Candid","Camden (County, 2022)"
"81-5111323","Mid Atlantic Central Service Association","PO Box 1346","VOORHEES","NJ","8043","","","","","","","Education","f990n","2021","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"81-5143881","4Walls Foundation","PO Box 201","SOMERDALE","NJ","8083","","","","","","","Mental Health, Crisis Intervention","f990n","2022","Community Mental Health Center","Candid","Camden (County, 2022)"
"81-5176176","Purely Positive Pets Rescue Inc","6 Lakeview Dr","CHERRY HILL","NJ","8003","","","","","","","Animal-Related","f990n","2021","Animal Related Activities N.E.C.","Candid","Camden (County, 2022)"
"81-5217254","Integrated Education & Life Services Inc","PO Box 545","COLLINGSWOOD","NJ","8108","","","","","","","Education","f990n","2022","Education N.E.C.","Candid","Camden (County, 2022)"
"81-5236085","Haddon Township Tennis Association","780 S Park Dr","HADDON TOWNSHIP","NJ","8108","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Tennis and Racquet Sports Clubs/Leagues","Candid","Camden (County, 2022)"
"81-5259939","Hawks Wrestling","510 Graisbury Ave","HADDONFIELD","NJ","8033","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2019","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"81-5311742","Surgical Laser Safety Council Inc","1818 Old Cuthbert Rd Ste 312","CHERRY HILL","NJ","8034","","","","","","","Diseases, Disorders, Medical Disciplines","f990n","2020","Surgery","Candid","Camden (County, 2022)"
"81-6643111","Traditional Cloistered Dominican Nuns","2127 Cooper Rd","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"82-0592784","Global Foundation for Dignity Inc","1110 S Cornell Ave","CHERRY HILL","NJ","8002","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Human Services - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"82-0660690","Miracles in Motion Outreach","1259 Decatur St","CAMDEN","NJ","8104","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"82-0913337","Michael G Macon Center of Hope","8 Walnut Ln","CLEMENTON","NJ","8021","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"82-1090697","Disciples Fellowship Christian Ministry Inc","14 Presidential Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","f990n","2018","Christian","Candid","Camden (County, 2022)"
"82-1369299","1 More Paycheck Inc","109 SE Gate Dr","CHERRY HILL","NJ","8003","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2021","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"82-1382475","Make A Wave Inc","45 Strathmore Dr","CHERRY HILL","NJ","8003","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"82-1400786","Kathleen Anne Joyce Education Foundation A NJ Nonprofit Corporat","PO Box 3871","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"82-1545957","Crossing the Gap","5 Fresno Dr","MAGNOLIA","NJ","8049","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Ethnic/Immigrant Services","Candid","Camden (County, 2022)"
"82-1555798","Todays Promise Tomorrows Future","320 Byron Ct","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Child Day Care","Candid","Camden (County, 2022)"
"82-1723977","Ghs 66 Scholarship Fund A NJ Nonprofit Corporation","1944 S Park Ave","HADDON HEIGHTS","NJ","8035","","","","","","","Education","f990n","2020","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"82-1813662","Mums and Mutts Inc","253 James St","MOUNT EPHRAIM","NJ","8059","","","","","","","Animal-Related","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"82-1826884","Ht Visual and Performing Arts Guild","18 Hampton Rd","HADDON TOWNSHIP","NJ","8108","","","","","","","Arts, Culture, and Humanities","f990n","2021","Arts Service Activities/Organizations","Candid","Camden (County, 2022)"
"82-1908505","His Home Educators Inc","701 Station Ave # 25","HADDON HEIGHTS","NJ","8035","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"82-1921616","Nation Wide Prayer Network","630 Erial Rd","BLACKWOOD","NJ","8012","","","","","","","Religion Related, Spiritual Development","f990n","2020","Christian","Candid","Camden (County, 2022)"
"82-2038486","All Saints Evangelistic Movement","225 S Black Horse Pike","BLACKWOOD","NJ","8012","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"82-2167652","Education Over Everything Foundation","1023 Kenwood Ave","CAMDEN","NJ","8103","","","","","","","Youth Development","f990n","2019","Youth Development Programs","Candid","Camden (County, 2022)"
"82-2216566","D-Boys Boxing Inc","1 Berlin Rd","CLEMENTON","NJ","8021","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"82-2275586","Winslow Township School 3 PTO","131 Sicklerville Rd","SICKLERVILLE","NJ","8081","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"82-2287917","Moorish Science Temple of America of Camden New Jersey","613 Liberty St","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","f990n","2020","Islamic","Candid","Camden (County, 2022)"
"82-2302402","7Th Direction Collective Inc","1229 Sequoia Rd","CHERRY HILL","NJ","8003","","","","","","","Youth Development","f990n","2020","Youth Development Programs","Candid","Camden (County, 2022)"
"82-2469441","Med13L","17 Timber Dr","BARRINGTON","NJ","8007","","","","","","","Medical Research","f990n","2021","Single Organization Support","Candid","Camden (County, 2022)"
"82-2633288","Haddon Township Education Foundation Inc","318 Glenwood Ave","HADDONFIELD","NJ","8033","","","","","","","Education","f990n","2022","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"82-2635253","Hard 2 Hire","1502 Norris St","CAMDEN","NJ","8104","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2019","Community Foundations","Candid","Camden (County, 2022)"
"82-2730677","Jim Whelan Mermorial Foundation","226 Morgan Ave","COLLINGSWOOD","NJ","8108","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2020","Public Foundations","Candid","Camden (County, 2022)"
"82-2795294","Life Community Services Inc","37 Clementon Rd","BERLIN","NJ","8009","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community Coalitions","Candid","Camden (County, 2022)"
"82-2931834","Christianeurship Global Initiative Inc","37 Beaver Dam Dr","SICKLERVILLE","NJ","8081","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"82-3026615","Threads for Success","301 W 1st Ave","BARRINGTON","NJ","8007","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community Coalitions","Candid","Camden (County, 2022)"
"82-3049726","Creative Life CDC Inc","7201 Westfield Ave Ste 102","PENNSAUKEN","NJ","8110","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Child Day Care","Candid","Camden (County, 2022)"
"82-3078732","Camden County Pop Up Library","PO Box 501","COLLINGSWOOD","NJ","8108","","","","","","","Education","f990n","2022","Libraries, Library Science","Candid","Camden (County, 2022)"
"82-3177282","Shore Scholarship Program A NJ Nonprofit Corporation","1102 Essex Ave","VOORHEES","NJ","8043","","","","","","","Public, Society Benefit - Multipurpose and Other","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
